file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_2200,opp_score,opp_words,opp_words_over_800,opp_words_over_1400,opp_words_over_2200,notes
IMG_5775.PNG,1,15800,38,9,2,0,15700,36,10,2,0,
IMG_5776.PNG,0,10400,40,1,0,0,11300,35,6,1,0,
IMG_5777.PNG,0,7800,36,0,0,0,11200,26,4,4,0,
IMG_5778.PNG,0,8000,27,2,0,0,12500,36,5,1,0,
IMG_5779.PNG,0,8400,31,2,0,0,11100,30,4,2,1,
IMG_5780.PNG,1,10300,29,5,0,0,8100,20,4,2,0,
IMG_5781.PNG,1,9500,31,4,0,0,7000,25,3,0,0,
IMG_5782.PNG,0,11300,32,6,0,0,16100,33,11,3,0,
IMG_5783.PNG,0,5100,24,0,0,0,8300,22,4,2,0,
IMG_5784.PNG,0,7900,28,3,0,0,13600,31,8,3,0,
IMG_5785.PNG,1,20200,45,12,3,0,18700,44,11,0,0,
IMG_5786.PNG,1,9200,40,1,0,0,9100,38,2,0,0,
IMG_5787.PNG,0,8600,35,0,0,0,14500,29,7,4,0,
IMG_5788.PNG,1,5800,24,1,0,0,5400,27,0,0,0,
IMG_5789.PNG,0,8500,38,2,1,0,8900,32,3,1,0,
IMG_5790.PNG,0,6200,29,0,0,0,8200,28,3,0,0,
IMG_5791.PNG,0,5800,28,0,0,0,11700,35,4,1,0,
IMG_5792.PNG,0,12800,33,5,2,0,22300,40,12,7,0,
IMG_5793.PNG,0,7600,30,1,0,0,9400,27,4,2,0,
IMG_5794.PNG,0,4200,20,1,0,0,6200,25,1,0,0,
IMG_5795.PNG,1,14000,40,7,1,0,13400,39,5,1,0,
IMG_5796.PNG,1,8500,40,0,0,0,5500,25,0,0,0,
IMG_5797.PNG,0,11900,36,5,0,0,11900,37,4,2,0,"DRAW! banner (tie game, 11900-11900) - not a win or loss; my_won recorded as 0 by convention"
IMG_5798.PNG,0,20300,42,14,4,0,21900,37,13,7,1,
IMG_5799.PNG,0,13700,40,7,0,0,14100,33,8,2,0,
IMG_5800.PNG,1,11800,31,6,2,0,9200,30,5,1,0,
IMG_5801.PNG,1,17700,51,8,0,0,16000,48,7,0,0,
IMG_5802.PNG,0,12100,39,4,1,0,14700,44,6,1,0,
IMG_5803.PNG,1,10500,36,3,0,0,10100,31,4,0,0,
IMG_5804.PNG,0,6200,24,2,0,0,8000,26,3,1,0,
IMG_5805.PNG,0,9800,33,2,0,0,15200,43,6,0,0,
IMG_5806.PNG,0,3900,23,1,0,0,4400,25,1,0,0,
IMG_5807.PNG,0,9600,28,5,0,0,14300,33,7,2,0,"opponent had a word worth 1800 (tier between 1400/2200); counted toward over_800 and over_1400"
IMG_5808.PNG,1,10100,32,3,0,0,9700,28,3,0,0,
IMG_5809.PNG,1,23100,59,13,0,0,20200,40,12,5,0,
IMG_5810.PNG,1,12600,40,5,0,0,9200,35,3,0,0,
IMG_5811.PNG,0,8900,28,4,0,0,15400,37,8,2,0,"opponent had a word worth 1800 (tier between 1400/2200); counted toward over_800 and over_1400"
IMG_5812.PNG,0,10000,34,3,0,0,19700,42,11,4,0,
IMG_5813.PNG,0,3800,22,1,0,0,4700,23,0,0,0,
IMG_5814.PNG,1,13300,36,7,1,0,12400,39,4,3,0,
IMG_5815.PNG,0,8600,24,2,0,0,10900,27,3,2,0,
IMG_5816.PNG,0,6600,29,1,0,0,11000,33,5,1,0,
IMG_5817.PNG,1,6400,26,2,0,0,5500,20,2,0,0,
IMG_5818.PNG,0,8800,45,1,0,0,9400,48,1,1,0,
IMG_5819.PNG,1,11400,42,3,0,0,10700,34,4,0,0,
IMG_5820.PNG,0,8900,29,3,0,0,9100,31,3,1,0,
IMG_5821.PNG,0,11000,32,6,0,0,12100,35,5,0,0,
IMG_5822.PNG,0,6400,31,0,0,0,10000,34,3,2,0,
IMG_5823.PNG,0,8200,30,4,0,0,10100,38,3,0,0,
IMG_5824.PNG,1,13200,31,8,2,0,9100,26,5,1,0,
IMG_5825.PNG,1,12900,47,4,0,0,12400,39,4,0,0,
IMG_5826.PNG,0,10800,29,4,2,0,13100,32,6,2,0,
IMG_5827.PNG,0,20600,54,11,0,0,20700,38,13,4,1,"opponent had words worth 1800 and 2200 (SWORDER/SWORDERS); 2200 counted in all tiers, 1800 in over_800/over_1400"
